GEOID10,senior_population,schools_within_a_mile
250250901004,18,"['Boston Arts Academy', 'Burke_ Jeremiah E. High School', 'Community Academy of Science & Health', 'Frederick_ Lilla G. Middle', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'King_ Martin Luther_ Jr. K-8', 'Lee_ Joseph K-8', 'McKinley_ William Middle', 'TechBoston Academy', 'UP Academy Dorchester', 'UP Academy Holland']"
250251004001,168,"['Boston International Newcomers Academy', 'Holmes_ Oliver Wendell Innovation', 'Kenny_ Thomas J. Elementary', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Quincy_ Josiah Elementary', 'Shaw_ Pauline A. Elementary', 'Taylor_ Charles H. Elementary', 'TechBoston Academy']"
250250709002,169,"['Blackstone Elementary School', 'Boston Adult Technical Academy', 'Boston Day & Evening Academy', 'Carter School_ The', 'Dearborn_ Henry STEM Academy', 'Hurley_ Joseph  K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Orchard Gardens K-8', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8', 'McKinley_ William School']"
250250103002,0,"['Boston Latin School', 'Fenway High School', 'Hennigan_ James W. K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ William Preparatory High School', 'Timilty_ James P. Middle', 'Tobin_ Maurice K-8', 'West Zone Early Learning Center']"
250250913002,131,"['Boston Day & Evening Academy', 'Boston Latin Academy', 'Clap Elementary School', 'Dearborn_ Henry STEM Academy', 'Dudley Street Neighborhood Charter School', 'Everett_ Edward Elementary', 'Frederick_ Lilla G. Middle', 'Haynes Early Education Center', 'Higginson-Lewis', 'King_ Martin Luther_ Jr. K-8', 'Mason_ Samuel Elementary', 'Mather Elementary', 'Orchard Gardens K-8', 'Russell_ William E.  Elementary', 'Winthrop_ John Elementary']"
250251106072,299,"['Bates_ Phineas Elementary', 'Irving_ Washington  Middle', 'Lyndon_ Patrick K-8', 'Mozart_ Wolfgang A. Elementary', 'Sumner_ Charles Elementary']"
250250612003,1,"['Boston Collaborative High School', 'Clap Elementary School', 'Condon_ James F. K-8', 'Dever_ Paul A.  Elementary', 'Excel High School', 'Mason_ Samuel Elementary', 'Perkins_ Michael J. Elementary', 'Russell_ William E.  Elementary', 'Tynan_ Joseph P. Elementary', 'UP Academy Boston']"
250259807001,0,"['Bates_ Phineas Elementary', 'Beethoven_ Ludwig van Elementary', 'Channing_ William E. Elementary', 'Conley_ George H. Elementary', 'Grew_ Henry Elementary', 'Ohrenberger_ William School']"
250250002022,93,"['Boston Green Academy', 'Brighton High School', 'Edison_ Thomas A. K-8', 'Lyon_ Mary High School', 'Winship_ F. Lyman Elementary']"
250250707002,233,"['Blackstone Elementary School', 'Boston Adult Technical Academy', 'Carter School_ The', 'Hurley_ Joseph  K-8', 'Kennedy_ Edward M. Academy for Health Careers', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Orchard Gardens K-8', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'McKinley_ William School']"
250251003003,196,"['Boston International Newcomers Academy', 'Ellison/Parks Early Education School', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mildred Avenue K-8', 'Quincy_ Josiah Elementary', 'Shaw_ Pauline A. Elementary', 'Taylor_ Charles H. Elementary', 'TechBoston Academy', 'Young Achievers Science & Math K-8']"
250250601014,93,"['Excel High School', 'Perry_ Oliver Hazard K-6', 'Tynan_ Joseph P. Elementary']"
250251006011,136,"['Boston Arts Academy', 'Community Academy of Science & Health', 'Kenny_ Thomas J. Elementary', 'Murphy_ Richard J.  K-8']"
250250919001,277,"['Boston Arts Academy', 'Burke_ Jeremiah E. High School', 'Community Academy of Science & Health', 'Frederick_ Lilla G. Middle', 'Greenwood_ Sarah K-8', 'Haynes Early Education Center', 'Holmes_ Oliver Wendell Innovation', 'King_ Martin Luther_ Jr. K-8', 'Lee_ Joseph K-8', 'Mather Elementary', 'McKinley_ William Middle', 'UP Academy Dorchester', 'UP Academy Holland']"
250251001007,126,"['Boston International Newcomers Academy', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Quincy_ Josiah Elementary', 'Shaw_ Pauline A. Elementary', 'Taylor_ Charles H. Elementary', 'TechBoston Academy', 'UP Academy Dorchester', 'Young Achievers Science & Math K-8']"
250250004021,91,"['Baldwin Early Learning Pilot Academy', 'Boston Green Academy', 'Brighton High School', 'Edison_ Thomas A. K-8', 'Lyon_ Mary High School', 'Winship_ F. Lyman Elementary']"
250251304025,154,"['Beethoven_ Ludwig van Elementary', 'Lyndon_ Patrick K-8']"
250251304041,564,"['Beethoven_ Ludwig van Elementary', 'Lyndon_ Patrick K-8', 'Ohrenberger_ William School']"
250250007043,16,"['Baldwin Early Learning Pilot Academy', 'Boston Green Academy', 'Brighton High School', 'Gardner Pilot Academy', 'Horace Mann School for the Deaf and Hard of Hearing', 'Jackson/Mann K-8']"
250250922001,157,"['Boston Arts Academy', 'Community Academy of Science & Health', 'Frederick_ Lilla G. Middle', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'Kenny_ Thomas J. Elementary', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mather Elementary', 'McKinley_ William Middle', 'Murphy_ Richard J.  K-8', 'TechBoston Academy', 'UP Academy Dorchester', 'UP Academy Holland']"
250250509011,62,"['Alighieri_ Dante Montessori School', 'East Boston Early Education Center', 'East Boston High School', 'Kennedy_ Patrick Elementary', 'McKay_ Donald K-8', ""O'Donnell_ Hugh R. Elementary"", 'Otis_ James Elementary', 'Umana_ Mario Academy']"
250251303003,178,"['Bates_ Phineas Elementary', 'Lyndon_ Patrick K-8', 'Mozart_ Wolfgang A. Elementary']"
250251001004,44,"['Boston International Newcomers Academy', 'Greenwood_ Sarah K-8', 'Haley_ Dennis K-8', 'Holmes_ Oliver Wendell Innovation', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mildred Avenue K-8', 'Shaw_ Pauline A. Elementary', 'TechBoston Academy', 'Young Achievers Science & Math K-8']"
250251004003,138,"['Boston International Newcomers Academy', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mildred Avenue K-8', 'Quincy_ Josiah Elementary', 'Shaw_ Pauline A. Elementary', 'Taylor_ Charles H. Elementary', 'TechBoston Academy']"
250250922002,57,"['Boston Arts Academy', 'Community Academy of Science & Health', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'Kenny_ Thomas J. Elementary', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'Mather Elementary', 'McKinley_ William Middle', 'Murphy_ Richard J.  K-8', 'Quincy_ Josiah Elementary', 'TechBoston Academy', 'UP Academy Dorchester', 'UP Academy Holland']"
250250705001,131,"['Blackstone Elementary School', 'Boston Adult Technical Academy', 'Carter School_ The', 'Condon_ James F. K-8', 'Hurley_ Joseph  K-8', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'McKinley_ William School']"
250250701014,237,"['Boston Adult Technical Academy', 'McKinley_ Willam South End Academy', 'McKinley_ William Elementary', 'Quincy_ Josiah Upper School', 'Snowden International School at Copley', 'McKinley_ William School']"
250250923001,101,"['Boston Arts Academy', 'Boston International Newcomers Academy', 'Burke_ Jeremiah E. High School', 'Community Academy of Science & Health', 'Frederick_ Lilla G. Middle', 'Greenwood_ Sarah K-8', 'Holmes_ Oliver Wendell Innovation', 'Lee Academy Pilot School', 'Lee_ Joseph K-8', 'McKinley_ William Middle', 'TechBoston Academy', 'UP Academy Dorchester', 'UP Academy Holland']"
250250607001,77,"['Blackstone Elementary School', 'Boston Collaborative High School', 'Condon_ James F. K-8', 'Excel High School', 'Perkins_ Michael J. Elementary', 'Tynan_ Joseph P. Elementary', 'UP Academy Boston']"
250250911002,144,"['Clap Elementary School', 'Dever_ Paul A.  Elementary', 'Everett_ Edward Elementary', 'Mather Elementary', 'McKinley_ William Middle', 'Russell_ William E.  Elementary']"
