state,county,tract,blockgroup,city,GEOID10,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
25,009,205700,1,Lynn,250092057001,883,358,22,9,0,6,0,0,31,0,26,24,34,66,0,46,27,28,9,0,5,11,0,8,6,525,58,0,46,0,33,0,33,0,67,73,38,25,0,64,44,0,9,0,14,8,0,9,4
25,025,092000,2,Boston,250250920002,2046,1035,69,21,19,70,40,18,0,39,111,41,59,14,183,69,64,41,2,0,17,59,50,21,28,1011,0,34,14,65,41,0,0,37,139,83,118,60,104,26,44,12,41,24,41,15,48,20,45
25,021,420100,2,Randolph Town,250214201002,740,328,58,0,24,33,0,0,0,31,32,0,0,0,0,0,51,46,22,0,0,10,9,12,0,412,0,10,15,31,0,19,0,0,98,6,50,0,0,38,45,13,18,0,0,29,0,12,28
25,009,254402,1,Methuen Town,250092544021,1198,597,20,36,17,19,0,0,0,25,43,59,76,0,64,51,0,49,28,39,0,9,15,15,32,601,76,0,61,73,0,0,0,0,41,0,38,89,20,21,30,59,21,0,17,9,31,15,0
25,011,040300,1,Northfield,250110403001,1577,726,16,9,47,12,37,0,40,21,67,0,28,76,19,59,75,40,56,23,35,55,0,0,11,851,41,78,52,20,39,0,0,0,44,52,32,26,60,73,95,27,59,22,55,22,33,0,21
25,017,357200,3,Belmont,250173572003,774,368,34,26,9,9,22,9,0,19,0,8,33,19,38,20,34,0,19,10,10,29,20,0,0,406,36,27,50,29,0,0,0,0,0,11,39,47,0,46,30,0,21,11,10,19,20,0,10
25,021,404201,1,Wellesley,250214042011,962,454,8,35,39,26,22,0,9,0,0,0,17,34,30,44,48,32,32,19,12,8,15,16,8,508,26,55,22,29,22,0,0,10,0,8,19,41,13,97,14,39,11,42,7,30,23,0,0
25,027,709701,1,Leominster,250277097011,1299,334,20,0,13,0,0,0,0,46,75,61,0,61,24,0,18,0,0,0,0,16,0,0,0,965,91,119,166,17,21,0,50,45,73,36,69,45,54,15,103,17,0,14,0,15,0,0,15
25,021,414100,4,Walpole,250214141004,1916,908,29,19,124,31,0,0,0,55,18,22,56,53,62,12,102,16,105,36,30,36,47,50,5,1008,54,99,36,62,0,0,0,17,0,43,34,97,47,45,91,38,63,18,44,4,99,30,87
25,023,510503,1,Brockton,250235105031,2100,1016,129,182,144,77,0,21,0,0,85,78,54,97,5,0,77,18,6,21,0,6,10,6,0,1084,58,60,90,59,24,0,20,24,113,80,174,48,118,46,66,39,8,9,10,7,17,14,0
